gene_name
Hsp26
Hsp70Bc
Hsp27
Hsp68
Hsp23
Hr38
snmRNA:331
DnaJ-1
Hsp83
CG14186
stv
CG30497
Hsp67Bc
sr
Ubi-p63E
CG17778
CG10383
Hop
Jra
CG13055
CG14024
CG13322
ZC3H3
Frq2
Mctp
Dref
mei-P26
nAcRalpha-30D
Kdm4B
Camta
Hsromega
nmo
Syx1A
brp
CG34362
Rdl
CG8910
CR30068
CG6619
Sh
CG8301
CG13954
CG3409
Vmat
Acf1
CG33639
Wnk
scrt
CG4577
bol
kcc
CG4294
4EHP
Su(z)2
ct
CG42261
Mad
l(1)G0148
Sln
CG31191
Ih
nAcRalpha-34E
CG4893
gpp
CG5890
ari-1
fred
CG42797
CG17378
stau
Mnn1
CG42404
CG42708
CG17193
Thd1
CG13739
Cha
CG9328
CG12734
CG13928
Syt1
Xrp1
ple
RSG7
CG1695
CG30116
CG31772
CG15772
Csp
CG42784
PIP5K59B
CG34353
fd85E
neuroligin
fru
Nhe2
cpx
heph
shi
DopEcR
Hsc70-4
5-HT1A
CG13868
Hsf
phyl
tipE
PNUTS
