,ID,log2FoldChange
195,FBgn0000615,1.48265658
196,FBgn0000617,-0.502214577
197,FBgn0000618,-0.617908081
198,FBgn0000625,-0.575625324
199,FBgn0000629,0.034547902
200,FBgn0000633,0.571096582
201,FBgn0000635,0.279175003
202,FBgn0000636,0.009817541
203,FBgn0000639,-0.687112114
204,FBgn0000640,0.081280702
205,FBgn0000644,-0.107726092
206,FBgn0000658,-0.136860459
207,FBgn0000659,0.620225981
208,FBgn0000662,0.28961051
209,FBgn0000667,0.172957875
210,FBgn0000709,0.253086128
211,FBgn0000711,-0.08941405
212,FBgn0000715,-0.385089338
213,FBgn0000719,0.218543536
214,FBgn0000721,0.341023127
215,FBgn0000723,-0.056727074
216,FBgn0000808,-2.588247816
217,FBgn0000810,0.392792382
218,FBgn0000826,-1.8316147
219,FBgn0000927,-3.889873326
220,FBgn0000928,0.260445
221,FBgn0000964,0.049057683
222,FBgn0000996,-0.849024409
223,FBgn0001075,0.492887447
224,FBgn0001077,-3.73387743
225,FBgn0001078,0.026193906
226,FBgn0001079,0.092650046
227,FBgn0001083,0.151170973
228,FBgn0001084,0.015636981
229,FBgn0001085,0.090219694
230,FBgn0001086,-0.974463126
231,FBgn0001087,0.383547725
232,FBgn0001089,0.257540753
233,FBgn0001090,0.689637249
234,FBgn0001091,0.132647811
235,FBgn0001092,-0.1352802
236,FBgn0001098,0.006928733
237,FBgn0001099,0.399924315
238,FBgn0001104,0.104502548
239,FBgn0001105,-0.263106589
240,FBgn0001108,0.016752207
241,FBgn0001112,0.313290259
242,FBgn0001114,0.183168444
243,FBgn0001120,-5.186922439
244,FBgn0001122,0.339516666
245,FBgn0001123,-0.026466432
246,FBgn0001124,-0.026733635
247,FBgn0001125,-0.446170845
248,FBgn0001128,0.154621009
249,FBgn0001133,-0.051587653
250,FBgn0001134,0.214601634
251,FBgn0001137,-0.175077009
252,FBgn0001138,-0.035975579
253,FBgn0001139,-0.102090035
254,FBgn0001142,0.21993627
255,FBgn0001145,0.132953987
256,FBgn0001147,0.79244846
257,FBgn0001148,0.077158687
258,FBgn0001149,-0.928691044
259,FBgn0001150,0.090985823
260,FBgn0001168,-0.125941736
261,FBgn0001169,0.428952814
262,FBgn0001170,0.928969794
263,FBgn0001174,-3.788151251
264,FBgn0001179,-0.408532827
